dataset_id,slug,titulo,categoria,organizacion,recurso_nombre,formato,url_origen,ruta_local,bytes,http_status,sha256
90,inteligencia-artificial,Inteligencia Artificial,Gestión de Datos,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752843707771-[Lujan de Cuyo] Estrategia de Datos para Toda la Ciudad_VF08122024.docx (1).html,,https://datos.lujandecuyo.gob.ar/recursos/dataset/90/1752843707771-[Lujan de Cuyo] Estrategia de Datos para Toda la Ciudad_VF08122024.docx (1).html,datasets/90-inteligencia-artificial/archivos/[Lujan de Cuyo] Estrategia de Datos para Toda la Ciudad_VF08122024.docx (1).html,2980729,200,1b52822ff0be9dfaccfd3de55a14930e3c5ab16f2dbddf63394cfbefbab4c0a6
90,inteligencia-artificial,Inteligencia Artificial,Gestión de Datos,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752843707783-Decreto IA.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/90/1752843707783-Decreto IA.pdf,datasets/90-inteligencia-artificial/archivos/Decreto IA.pdf,1633016,200,1f9b4755eaeeedc8180e91bb11f6af6b8074bf83a4740ae5dd9b11dd1c9a71be
90,inteligencia-artificial,Inteligencia Artificial,Gestión de Datos,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752843707788-Protocolo_Etico_IA_Lujan_Cuyo.html,,https://datos.lujandecuyo.gob.ar/recursos/dataset/90/1752843707788-Protocolo_Etico_IA_Lujan_Cuyo.html,datasets/90-inteligencia-artificial/archivos/Protocolo_Etico_IA_Lujan_Cuyo.html,1147949,200,ff390c5617b07321475b0114dd4f4c2d1f24bee9abec4159bc2b32ba9f6a12f0
90,inteligencia-artificial,Inteligencia Artificial,Gestión de Datos,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752851613940-Gobernanza_IA.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/90/1752851613940-Gobernanza_IA.xlsx,datasets/90-inteligencia-artificial/archivos/Gobernanza_IA.xlsx,9516,200,fb340fdb14cd8e8f12427819e6f9f8290c22e4a0909db4ddec780210928a375b
90,inteligencia-artificial,Inteligencia Artificial,Gestión de Datos,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752851613943-Programas IA.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/90/1752851613943-Programas IA.xlsx,datasets/90-inteligencia-artificial/archivos/Programas IA.xlsx,9951,200,279bdff86a5ab85492c30dcf51211b1655a76536316f8c1667cb766cd494aeb0
90,inteligencia-artificial,Inteligencia Artificial,Gestión de Datos,"Secretaría de Innovación, Gobierno Abierto y Gestión del Territorio",1752852784116-Innovacion_Desarrollo.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/90/1752852784116-Innovacion_Desarrollo.xlsx,datasets/90-inteligencia-artificial/archivos/Innovacion_Desarrollo.xlsx,9594,200,38f69750289ced09f415f6f44bea795ec6bb317bd66ff320f64170b7d602c01d
89,centro-verde-2025,Centro Verde,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,1751399114535_VENTAS 2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/89/1751399114535_VENTAS 2025.xlsx,datasets/89-centro-verde-2025/archivos/1751399114535_VENTAS 2025.xlsx,12203,200,911690b45b85f85f37e7b4aaaf85877bfbbe3dd812964a23f0d5838645de35a8
88,disposición-final-de-residuos,Disposición Final de Residuos,Medio Ambiente y Desarrollo Sustentable,Secretaría de Higiene Urbana y Mantenimiento del Espacio Público,Cantidad_2021-2022-2023-2024-2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/88/Cantidad_2021-2022-2023-2024-2025.xlsx,datasets/88-disposici-n-final-de-residuos/archivos/Cantidad_2021-2022-2023-2024-2025.xlsx,19443,200,065ae7f803c7f7d99e3c086b669d0ef514d7e476d74037ec00c70f6e5b6b4823
87,comercios-por-rubro-2025,Comercios por Rubro 2025,Economía,Secretaría de Economía e Ingresos Públicos,Comercios por Rubro 2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/87/Comercios por Rubro 2025.xlsx,datasets/87-comercios-por-rubro-2025/archivos/Comercios por Rubro 2025.xlsx,407745,200,3ac4292134885cb0da5c4ad6a21b48beea5bbbffdcee65b2581aab3320b6a116
84,gasto-pblico-2025,Gasto Público 2025,Economía,Secretaría de Economía e Ingresos Públicos,1751644042432-gastosejecucion_al_04_07_2025.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/84/1751644042432-gastosejecucion_al_04_07_2025.xls,datasets/84-gasto-pblico-2025/archivos/gastosejecucion_al_04_07_2025.xls,23552,200,aa84c37b3e61c2831d86e13ce905b49f8a75640bf0ffb6f032f59e53f483e496
83,pauta-publicitaria-2025,Pauta publicitaria 2025,Gobierno Municipal,Dirección de Comunicación Estratégica,pauta_publicitaria-2020-2021-2022-2023-2024.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/83/pauta_publicitaria-2020-2021-2022-2023-2024.xlsx,datasets/83-pauta-publicitaria-2025/archivos/pauta_publicitaria-2020-2021-2022-2023-2024.xlsx,20040,200,9f957f07c8cd8238c5390b66b5d2c30337c83eaf34d81c5f09ada3a0654e60d6
82,planilla-de-licitacin-2025,Planilla de Licitación 2025,Economía,Secretaría de Hacienda,PLANILLA_DE_LICITACION_2025.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/82/PLANILLA_DE_LICITACION_2025.xlsx,datasets/82-planilla-de-licitacin-2025/archivos/PLANILLA_DE_LICITACION_2025.xlsx,98598,200,f3caf176471047421697a2090fa867920b17cfb5989a166f0cd8acc4af77cfc3
78,calidad-del-agua-2025,Calidad del Agua 2025,Medio Ambiente y Desarrollo Sustentable,Coordinación de la Unidad de Aguas y Servicios Sanitarios,calidad-del-agua_2023_2024.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/78/calidad-del-agua_2023_2024.xlsx,datasets/78-calidad-del-agua-2025/archivos/calidad-del-agua_2023_2024.xlsx,72798,200,978d71bd1389919c054f313494f1582f2ce7b1ed53bf99bd99f1cbcc202a419d
79,perforaciones-2025,Perforaciones 2025,Medio Ambiente y Desarrollo Sustentable,Coordinación de la Unidad de Aguas y Servicios Sanitarios,perforaciones.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/79/perforaciones.xlsx,datasets/79-perforaciones-2025/archivos/perforaciones.xlsx,53989,200,c411cb5f76b0efe99c1b1927995663d4adcb7aa3349cef5781949f98b496ae63
80,planta-cipolletti-2025,Planta Cipolletti 2025,Medio Ambiente y Desarrollo Sustentable,Coordinación de la Unidad de Aguas y Servicios Sanitarios,planta-cipolletti.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/80/planta-cipolletti.xlsx,datasets/80-planta-cipolletti-2025/archivos/planta-cipolletti.xlsx,50601,200,9048330aea334efef94a5729624b075c41afd93233dbdc231387fead060e53ce
81,planta-santa-elena-2025,Planta Santa Elena 2025,Medio Ambiente y Desarrollo Sustentable,Coordinación de la Unidad de Aguas y Servicios Sanitarios,planta-santa-elena.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/81/planta-santa-elena.xlsx,datasets/81-planta-santa-elena-2025/archivos/planta-santa-elena.xlsx,50654,200,ab24121295c5b32977dd1fe82d7db3381f2b73678886108dead0e0148b9fd5bc
1,organigrama-municipal,Organigrama Municipal 2020,Gobierno Municipal,Secretaria de Gobierno,dec-59-organigrama-oficial.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/1/dec-59-organigrama-oficial.pdf,datasets/1-organigrama-municipal/archivos/dec-59-organigrama-oficial.pdf,1337059,200,e09ea2fc156782cfbdc7bc8fcff098b52daa562a219819bcea14a70815f9f6c2
1,organigrama-municipal,Organigrama Municipal 2020,Gobierno Municipal,Secretaria de Gobierno,dec-24-organigrama-municipal.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/1/dec-24-organigrama-municipal.pdf,datasets/1-organigrama-municipal/archivos/dec-24-organigrama-municipal.pdf,1712662,200,93fbd285984d2e49f5d0468ee6fe0a47dae786cd45959abde83f4a9fc07787a2
3,organigrama-hdc,Organigrama HDC,Gobierno Municipal,Honorable Concejo Deliberante de Luján de Cuyo,organograma.pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/3/organograma.pdf,datasets/3-organigrama-hdc/archivos/organograma.pdf,14476,200,e78386483ba620030a6af64853c908cde25c0f2efd0969e92787cf3748902ea6
4,ordenanzas-municipales,Ordenanzas Municipales,Gobierno Municipal,Intendencia Municipalidad de Luján de Cuyo,ordenanzas-2024_2016.xlsx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/4/ordenanzas-2024_2016.xlsx,datasets/4-ordenanzas-municipales/archivos/ordenanzas-2024_2016.xlsx,26659,200,e0caec9d71bd541f0f7284999ea5771c5f53f4cc378e3fc60f589beed15507a6
4,ordenanzas-municipales,Ordenanzas Municipales,Gobierno Municipal,Intendencia Municipalidad de Luján de Cuyo,ordenanzas-2024_2016.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/4/ordenanzas-2024_2016.csv,datasets/4-ordenanzas-municipales/archivos/ordenanzas-2024_2016.csv,53716,200,be03596cc2c50a86a76147c72ad744e1dd0202030da66ccf59c3a5b42bd3439c
4,ordenanzas-municipales,Ordenanzas Municipales,Gobierno Municipal,Intendencia Municipalidad de Luján de Cuyo,1752583891797-ORDENANZA N° 14831-2024 Tarifaria 2025 (1).pdf,,https://datos.lujandecuyo.gob.ar/recursos/dataset/4/1752583891797-ORDENANZA N° 14831-2024 Tarifaria 2025 (1).pdf,datasets/4-ordenanzas-municipales/archivos/ORDENANZA N° 14831-2024 Tarifaria 2025 (1).pdf,1842629,200,80e44e77d86e500aefc1925ae182f2d415d97a7a54ebf7888543d679f6621327
4,ordenanzas-municipales,Ordenanzas Municipales,Gobierno Municipal,Intendencia Municipalidad de Luján de Cuyo,1752679129089-ORDENANZA N° 14830-2024 Presupuesto 2025.docx,,https://datos.lujandecuyo.gob.ar/recursos/dataset/4/1752679129089-ORDENANZA N° 14830-2024 Presupuesto 2025.docx,datasets/4-ordenanzas-municipales/archivos/ORDENANZA N° 14830-2024 Presupuesto 2025.docx,937444,200,06bee1a7d7936be9b7cc356bcaac1d48fb3066c6bc724e07b18d07e96429436e
4,ordenanzas-municipales,Ordenanzas Municipales,Gobierno Municipal,Intendencia Municipalidad de Luján de Cuyo,1752855044427-Ordenanzas_Categorizadas2024.csv.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/4/1752855044427-Ordenanzas_Categorizadas2024.csv.xls,datasets/4-ordenanzas-municipales/archivos/Ordenanzas_Categorizadas2024.csv.xls,16927,200,056ccf830b12ecedbf4b2c0bbb9d8da0601886d275c1346a25fd140bac4a4b8d
4,ordenanzas-municipales,Ordenanzas Municipales,Gobierno Municipal,Intendencia Municipalidad de Luján de Cuyo,1752855175280-Ordenanzas_2025_con_categor_a.csv.xls,,https://datos.lujandecuyo.gob.ar/recursos/dataset/4/1752855175280-Ordenanzas_2025_con_categor_a.csv.xls,datasets/4-ordenanzas-municipales/archivos/Ordenanzas_2025_con_categor_a.csv.xls,16650,200,bf1b420278a344794950a076bffe078e46cfe977e4a4ec641fc4268aea37d6ad
5,barrios-populares,Barrios Populares,Urbanismo y Territorio,Intendencia Municipalidad de Luján de Cuyo,barrios_populares_1.csv,,https://datos.lujandecuyo.gob.ar/recursos/dataset/5/barrios_populares_1.csv,datasets/5-barrios-populares/archivos/barrios_populares_1.csv,8462,200,174a19446def510d55e57b1663c31f5aba6562799677dc6a6900d50cf99c7d2b
5,barrios-populares,Barrios Populares,Urbanismo y Territorio,Intendencia Municipalidad de Luján de Cuyo,barrios_populares.zip,,https://datos.lujandecuyo.gob.ar/recursos/dataset/5/barrios_populares.zip,datasets/5-barrios-populares/archivos/barrios_populares.zip,49368,200,d13a5f09330374b6b7ba344d205a5fbbeea8d32950b56c4b4fdc11f39bba908a
